nome,codigo,preço
CARREGADOR BASIKE 3.1A V8,BA-CAR9012 (PROMOÇÃO),"R$ 7,50"
CARREGADOR BASIKE 3.1A V8 ,BA-CAR9013 CABO PRESO,"R$ 9,00"
CARREGADOR BASIKE 5.1A V8,BA-CAR9002,"R$ 12,50"
CARREGADOR BASIKE V8 4.8A,BACAR-9021(4.8A),"R$ 12,80"
CARREGADOR DE MI BAND,KAP-M40,"R$ 8,00"
CARREGADOR DE SAQUINHO V8,CAR-8201,"R$ 5,50"
CARREGADOR INDUÇÃO 3 IN 1,PEI-WS11,"R$ 140,00"
CARREGADOR INDUÇÃO 3 IN 1,PEI-WS09,"R$ 150,00"
CARREGADOR INDUÇÃO 5 IN 1,PEI-WS10,"R$ 140,00"
CARREGADOR INOVA 3.1A IPH,CAR-G5062A,"R$ 13,00"
CARREGADOR INOVA 3.1A V8,CAR-G5062S,"R$ 9,00"
CARREGADOR INOVA 5.1A TPC,CAR-5266C-DD,"R$ 13,50"
CARREGADOR INOVA 5.1A TPC,CAR-5221-TIPO C ,"R$ 11,00"
CARREGADOR INOVA 5.1A V8,CAR-5266S,"R$ 13,00"
CARREGADOR INOVA COMPLETO TIPOC/I6,CAR-0094-TZ,"R$ 20,00"
CARREGADOR INOVA T-C COLORIDO 3.1A,MKL/CAR-3117C,"R$ 10,50"
CARREGADOR IPH,KV-3162A-I6,"R$ 14,00"
CARREGADOR IPH 3.1A,CAR-3115A,"R$ 11,00"
CARREGADOR PARA CELULAR TIPO C 3.6A KAPBOM,KA-395-TY,"R$ 5,50"
CARREGADOR PORTATIL,POW-9857,"R$ 55,00"
CARREGADOR PORTATIL,POW-1067,"R$ 33,00"
CARREGADOR PORTÁTIL,POW-8317,"R$ 33,00"
CARREGADOR PORTÁTIL,POW-1019,"R$ 33,00"
CARREGADOR PORTÁTIL,KV-P203,"R$ 75,00"
CARREGADOR PORTÁTIL 10000MAH,POW-1068,"R$ 33,00"
CARREGADOR PORTATIL POR INDUÇÃO,CHAR-11051,"R$ 55,00"
CARREGADOR RAPIDO 30W,PEI-904,"R$ 40,00"
CARREGADOR RAPIDO 30W,PEI-902,"R$ 40,00"
CARREGADOR TIPO C 3.1A,CAR-3160C,"R$ 11,00"
CARREGADOR TIPO C 4.8A,CAR-3173C,"R$ 11,50"
CARREGADOR TURBO ALTOMEX TIPO C,AL-7081-TY,"R$ 11,00"
CARREGADOR TURBO ALTOMEX V8,AL-7081-V8,"R$ 11,00"
CARREGADOR TURBO CX VERDE TIPO C,AL-7070-TY,"R$ 12,00"
CARREGADOR TURBO CX VERMELHA TIPO C,AL-7080-TY,"R$ 12,00"
CARREGADOR TURBO CX VERMELHA V8,AL-7080-V8,"R$ 12,00"
CARREGADOR TURBO POWER 50 MOTOROLA,CAR-7774,"R$ 20,00"
CARREGADOR UNIVERSAL,CAR-Z7003,"R$ 6,00"
CARREGADOR USB BASIKE 3.1A V8,BA-CAR-9011 V8 3.1A,"R$ 9,00"
CARREGADOR USB INOVA V8 2.4A,CAR G-5087,"R$ 10,00"
CARREGADOR V8 3.1A,CAR-3160S,"R$ 10,50"
CARREGADOR V8 3.1A (COLORIDO),MKL-3160S,"R$ 10,00"
CARREGADOR V8 3.1A BLISTER E CAIXINHA,CAR-G5190S,"R$ 10,00"
CARREGADOR V8 4.1A,CAR-8237,"R$ 10,00"
CARREGADOR VEIC. T-C BASIKE,BA-CAR0049-TIPO C ,"R$ 20,00"
CARREGADOR VEICULAR 4.1A 2USB,GL-08C,"R$ 12,00"
CARREGADOR VEICULAR C/MP3 PLAYER,KA-C158,"R$ 30,00"
CARREGADOR VEICULAR V8 3.4A,CAR-8130,"R$ 12,50"
CARREGADOR VEICULAR V8 4.8A,AL-2105D,"R$ 12,00"
CARREGADOR VEICULAR:LE-525V,LE-525V,"R$ 9,00"
CARRO CAIXA DE SOM,WS-389,"R$ 115,00"
CARTÃO DE MEMORIA 16GB,TF-CARD-8572,"R$ 17,00"
CARTÃO DE MEMORIA 4GB,TF-CARD-8570,"R$ 14,00"
CARTÃO DE MEMORIA 8GB,TF-CARD-8571,"R$ 15,00"
CARTÃO DE MEMÓRIA C/ADAPTADOR MASTERDRIVE 32GB,CARD-32GB MASTERDRIVE CLASSE 10,"R$ 20,00"
CARTÃO DE MEMÓRIA MASTERDRIVE 32GB (PC) (CLASSE 20),CARTÃO DE MEMÓRIA MASTERDRIVE 32GB (PC) (CLASSE 20),"R$ 24,00"
CARTÃO DE MEMORIA MASTERDRIVE 4GB (ADAP PENDRIVE),CARTÃO DE MEMORIA MASTERDRIVE 4GB,"R$ 14,00"
CHAPINHA INOVA,REF 758,"R$ 40,00"
CHAPINHA INOVA,HW-912,"R$ 40,00"
CHAVEIRO,YSK-12133,"R$ 4,00"
CHAVEIRO,YSK-12132,"R$ 4,00"
CHAVEIRO,YSK-12135,"R$ 7,00"
CHIP CLARO,CHIP CLARO,"R$ 10,00"
CHIP TIM,CHIP TIM,"R$ 7,00"
CHIP TIM COM RECARGA,TIM + RECARGA ,"R$ 15,00"
CONTROLE (AR C. SAMSUNG),REM-8077,"R$ 10,00"
CONTROLE (AR C. SAMSUNG),REM-8076,"R$ 10,00"
CONTROLE (DVD LG),REM-8036,"R$ 3,00"
CONTROLE (DVD MUNDIAL),REM-8038,"R$ 3,00"
CONTROLE (DVD PHILCO),REM-8033,"R$ 4,00"
CONTROLE (SAMSUNG),REM-8039,"R$ 5,00"
CONTROLE (TV LCD PANASONIC),REM-8042,"R$ 5,00"
CONTROLE DE GAMER,AT-9099,"R$ 60,00"
CONTROLE DE GAMER,AT-9156,"R$ 85,00"
CONTROLE DE PLAY 2,KAP-2W,"R$ 40,00"
CONTROLE PARA TV BOX,LE-7490,"R$ 8,00"
CONTROLE PS3 INOVA,CON-204Z,"R$ 50,00"
CONTROLE REMOTO COPIADOR,KA-1168,"R$ 16,00"
CONTROLE REMOTO UNIVERSAL SAMSUNG,LE-7036,"R$ 10,00"
CONTROLE SEM FIO PRA XBOX,CON-8148,"R$ 100,00"
CONTROLE UNIVERSAL,CON-7190,"R$ 60,00"
CONTROLE VIDEO GAME,CON-203Z,"R$ 25,00"
CONVERSOR DE DVI/VGA,ZJT-20120,"R$ 15,00"
CONVERSOR DIGITAL INOVA DIG7020,DIG-7020,"R$ 85,00"
CONVERSOR HDTV/VGA,ZJT-20121,"R$ 12,00"
CONVERSOR HDTV/VGA,ZJT-20122,"R$ 14,00"
COOLER PARA CELULAR,SRQ-7518,"R$ 13,00"
CORTADOR DE CABELO,U-985,"R$ 62,00"
DVR INOVA 16 CANAIS,DVR-7282,"R$ 530,00"
ESCALA DE PESO,KV-142,"R$ 55,00"
ESPELHO LED,FAN-8517,"R$ 13,00"
EXTENSÃO 3 TOMADAS 7389,SL7103,"R$ 13,00"
EXTENSAO DE 3 TOMADAS,SL-7213,"R$ 18,00"
EXTENSÃO DE 5 TOMADAS,SL-7215,"R$ 20,00"
EXTENSÃO DE 6 TOMADAS 1.5M BASIKE PRIME,SL-7606,"R$ 26,00"
FITA DE LED KAPBOM,KAP-3528WW,"R$ 18,00"
FITA DE LED KAPBOM,KAP-3528W,"R$ 18,00"
FONE AIRPODS PRÓ SEM BORRACHA,FON-9856,"R$ 70,00"
FONE BLUETOOTH,FON-8511,"R$ 18,00"
FONE BLUETOOTH (BASIKE),FON-2307D,"R$ 27,00"
FONE BLUETOOTH BASIKE,BA-FON-2312 ,"R$ 27,00"
FONE BLUETOOTH KAPBOM,KA-989,"R$ 48,00"
FONE BLUETOOTH KAPBOM,KA-990,"R$ 40,00"
FONE C/MICROFONE,FON-10052,"R$ 3,00"
FONE C/MICROFONE DE SAQUINHO,FON-9932,"R$ 3,00"
FONE DE OUVIDO,FON-30141,"R$ 13,00"
FONE DE OUVIDO,FON-7506,"R$ 5,50"
FONE DE OUVIDO,FON-7503,"R$ 6,00"
FONE DE OUVIDO,FON-9922,"R$ 5,00"
FONE DE OUVIDO,FON-9921,"R$ 5,00"
FONE DE OUVIDO,FON-9900,"R$ 5,00"
FONE DE OUVIDO,FON-9920,"R$ 5,00"
FONE DE OUVIDO,FON-9919,"R$ 5,00"
FONE DE OUVIDO,FON-7517,"R$ 5,00"
FONE DE OUVIDO,FON-9810,"R$ 5,00"
FONE DE OUVIDO,FON-7516,"R$ 5,00"
FONE DE OUVIDO,FON-2295D,"R$ 4,00"
FONE DE OUVIDO,FON-6739,"R$ 12,00"
FONE DE OUVIDO,FON-2171,"R$ 4,50"
FONE DE OUVIDO,FON-8685,"R$ 35,00"
FONE DE OUVIDO,FON-2057D,"R$ 23,00"
FONE DE OUVIDO,FON-20390,"R$ 52,00"
FONE DE OUVIDO,FON-20387,"R$ 50,00"
FONE DE OUVIDO,FON-8611,"R$ 42,00"
FONE DE OUVIDO,PEI-P620,"R$ 80,00"
FONE DE OUVIDO,FON-8743,"R$ 40,00"
FONE DE OUVIDO,BA-FON9856,"R$ 65,00"
FONE DE OUVIDO,FON-6756,"R$ 10,00"
FONE DE OUVIDO,FON-10051,"R$ 2,20"
FONE DE OUVIDO,FON-8608,"R$ 2,20"
FONE DE OUVIDO,FON-9827,"R$ 5,00"
FONE DE OUVIDO,BA-FON6790,"R$ 55,00"
FONE DE OUVIDO,FON-7505,"R$ 6,00"
FONE DE OUVIDO,FON-8510,"R$ 18,00"
FONE DE OUVIDO,FON B-05,"R$ 25,00"
FONE DE OUVIDO,FON-30138,"R$ 13,00"
FONE DE OUVIDO,FON-30037,"R$ 13,00"
FONE DE OUVIDO,FON-10048,"R$ 2,20"
FONE DE OUVIDO,FON-2123,"R$ 15,00"
FONE DE OUVIDO,FON-9899,"R$ 5,00"
FONE DE OUVIDO,FON-7504,"R$ 5,50"
FONE DE OUVIDO,FON-30097,"R$ 32,00"
FONE DE OUVIDO,FON-7500,"R$ 7,50"
FONE DE OUVIDO,FON-6710,"R$ 30,00"
FONE DE OUVIDO,FON-30083,"R$ 14,00"
FONE DE OUVIDO,KA-716,"R$ 3,50"
FONE DE OUVIDO,FON-30082,"R$ 12,00"
FONE DE OUVIDO,FON-6751,"R$ 6,00"
FONE DE OUVIDO,FON-7502,"R$ 5,50"
FONE DE OUVIDO,FON-30040,"R$ 13,00"
FONE DE OUVIDO ALTOMEX,F-070,"R$ 3,00"
FONE DE OUVIDO BASIKE,FON-20397,"R$ 55,00"
FONE DE OUVIDO BASIKE,BA-FON6689,"R$ 100,00"
FONE DE OUVIDO BASIKE,FON-MI-9,"R$ 40,00"
FONE DE OUVIDO BLUETOOTH TWS,BA-FON6693,"R$ 50,00"
FONE DE OUVIDO C/ MICROFONE,FON-10067,"R$ 3,50"
FONE DE OUVIDO C/ MICROFONE,FON-10031,"R$ 3,00"
FONE DE OUVIDO C/ MICROFONE,FON-2061,"R$ 10,00"
FONE DE OUVIDO CRISTAL,FON-6761,"R$ 5,50"
FONE DE OUVIDO DA BASIKE,FON-6748,"R$ 10,00"
FONE DE OUVIDO DA BASIKE,BA-FON6747,"R$ 10,00"
FONE DE OUVIDO DE SAQUINHO C/ MICROFONE,FON-8605,"R$ 3,00"
FONE DE OUVIDO DE UNICÓRNIO,FON-8524,"R$ 35,00"
FONE DE OUVIDO EAR DE GATO,FON-7426,"R$ 50,00"
FONE DE OUVIDO ÉSTEREO S/FIO,FON-2165D,"R$ 27,00"
FONE DE OUVIDO INOVA,FON-12061,"R$ 65,00"
FONE DE OUVIDO INOVA,FON-11109,"R$ 46,00"
FONE DE OUVIDO INOVA,FON-6706,"R$ 5,00"
FONE DE OUVIDO INOVA,FON-8742,"R$ 13,00"
FONE DE OUVIDO INOVA,FON-7540,"R$ 13,00"
FONE DE OUVIDO KAPBOM,KA-B05,"R$ 28,00"
FONE DE OUVIDO N815,N815,"R$ 18,00"
FONE DE OUVIDO P2,FON-30038,"R$ 10,00"
FONE DE OUVIDO PARA JOGOS,FON-8730,"R$ 28,00"
FONE DE OUVIDO PARA JOGOS,FON-8639,"R$ 28,00"
FONE DE OUVIDO PARA PS4/ XONE,FON-8619,"R$ 38,00"
FONE DE OUVIDO S/ FIO,PEI-P818,"R$ 50,00"
FONE DE OUVIDO S/ FIO,PEI-DR-28,"R$ 70,00"
FONE DE OUVIDO S/ FIO,PEI-P810,"R$ 60,00"
FONE DE OUVIDO S/ FIO,PEI-P626,"R$ 70,00"
FONE DE OUVIDO S/FIO DE GATINHO BASIKE,BA-FON-9025,"R$ 30,00"
FONE DE OUVIDO TC,FON-30039,"R$ 13,00"
FONE DE OUVIDO ZIPER,FON-10050,"R$ 6,00"
FONE DE OUVIDO:,LE-2406,"R$ 65,00"
FONE EMB PRATEADA,FON-10071,"R$ 3,50"
FONE HEADSET PARA PC,FON-8679,"R$ 18,00"
FONE S/ MICROFONE,FON-10066,"R$ 2,20"
FONTE 12V ALTOMEX,AL-1037,"R$ 13,00"
FONTE 12V ALTOMEX,AL-1033,"R$ 9,00"
CAR-3117F FONTE 2 USB 3.1A,CAR-3117 FONTE - 3.1A ,"R$ 8,50"
FONTE 60W INOVA,CAR-20322,"R$ 50,00"
FONTE ALTOMEX,AL-1039,"R$ 10,00"
FONTE CHAVEADA 12V 5A,D-821,"R$ 20,00"
FONTE PARA TV BOX,KAP-1181,"R$ 9,50"
FONTE UNIVERSAL INOVA NOTEBOOK,KV-7007,"R$ 30,00"
FONTE VEICULAR CAR-2049D,CAR-2049D (FONTE),"R$ 5,80"
FONTE VEICULAR COLRIDA ALTOMEX,AL-2107D,"R$ 5,50"
G06-C 4.1A CARREGADOR VEICULAR TIPO C,G06-C,"R$ 10,00"
G06-S CARREGADOR VEICULAR 4.1A V8,G06-S,"R$ 9,50"
GAMEPAD PARA CELULAR,SRQ-7520,"R$ 16,00"
GAMEPAD PARA CELULAR,SRQ-7519,"R$ 18,00"
GARRAFA,WU-056,"R$ 24,00"
GARRAFA DE AGUA,CUP-12095,"R$ 30,00"
GARRAFA DE AGUA,CUP-12093,"R$ 30,00"
GARRAFA DE AGUA,CUP-12091,"R$ 35,00"
GARRAFA DE AGUA,CUP-12089,"R$ 20,00"
GARRAFA DE AGUA,CUP-12090,"R$ 20,00"
GARRAFA DE AGUA,WU-031,"R$ 14,00"
GARRAFA INOX,WU-011,"R$ 35,00"
GARRAFA INOX,WU-012,"R$ 30,00"
GARRAFA INOX,WU-013,"R$ 35,00"
GARRAFA INOX,WU-010,"R$ 45,00"
GARRAFA TERMICA DE AGUA:,LE-5108,"R$ 50,00"
GL18S CARREGADOR VEICULAR V8 20W+25W,GL18S,"R$ 20,00"
HUB 4 USB 2.0,HUB-AU-015,"R$ 9,00"
HUB KAPBOM 7 PORTAS USB,KA-H7U,"R$ 10,00"
HUMIDIFICADOR DE MINIBULBOS,HUMID-8531,"R$ 26,00"
HUMIDIFICADOR DE MINIBULBOS,HUMI-8542,"R$ 25,00"
JOGO DE FERRAMENTAS,AK-5306,"R$ 25,00"
KA-1092,KA-1092,"R$ 13,00"
KA-1160,KA-1160,"R$ 20,00"
SUPORTE P/ CELULAR ,KAP-C119,"R$ 20,00"
KIT DE CHAVES,JL-1162,"R$ 10,00"
KIT GAMER,KMFON-6527,"R$ 130,00"
KIT TECLADO E MOUSE,KV-8784,"R$ 52,00"
KIT VEICULAR 3.4A V8,KV-G37S,"R$ 13,00"
LAMPADA LED,KAP-1066,"R$ 25,00"
LAMPADA LED,KV-100-LD,"R$ 17,00"
LÂMPADA MUSICAL RGB,KAP-L3,"R$ 85,00"
LANTERNA KIVE,KV-2258,"R$ 15,00"
LANTERNA KIVE,KV-1012,"R$ 18,00"
LEITOR DE CÓDIGO DE BARRA,KAP-SM550,"R$ 75,00"
LUMINÁRIA BOLHA DE BOLA,KV-357,"R$ 40,00"
LUMINARIA DE MESA,LAM-8504,"R$ 50,00"
LUMINARIA DE MESA,LAN-6734,"R$ 45,00"
LUMINARIA DE MESA,LAN-6733,"R$ 40,00"
LUMINARIA DE MESA,LAN-6736,"R$ 40,00"
